time,open,high,low,close,volume
1675214400,12091.25,12099.75,12089.75,12098.0,328
1675214700,12098.25,12098.5,12093.75,12096.5,185
1675215000,12096.5,12098.25,12092.75,12098.25,206
1675215300,12098.0,12101.5,12096.75,12100.0,262
1675215600,12100.0,12103.25,12098.25,12100.5,196
1675215900,12100.0,12100.0,12093.75,12096.75,403
1675216200,12096.0,12096.0,12088.25,12092.0,332
1675216500,12093.0,12095.75,12092.25,12094.25,222
1675216800,12094.25,12094.5,12090.0,12092.5,206
1675217100,12093.0,12095.0,12090.5,12091.25,108
1675217400,12091.0,12091.5,12085.75,12088.0,229
1675217700,12087.75,12090.75,12087.5,12088.25,167
1675218000,12088.5,12088.5,12085.25,12086.75,122
1675218300,12086.0,12089.75,12085.75,12088.5,156
1675218600,12088.0,12091.75,12085.75,12091.5,269
1675218900,12091.5,12092.5,12088.25,12088.25,123
1675219200,12088.5,12092.0,12088.25,12091.25,214
1675219500,12090.75,12090.75,12086.75,12087.5,148
1675219800,12087.0,12089.5,12087.0,12088.5,80
1675220100,12088.5,12089.5,12087.25,12087.75,60
1675220400,12088.0,12088.75,12087.0,12088.0,74
1675220700,12088.75,12096.0,12088.0,12096.0,279
1675221000,12095.75,12105.25,12095.0,12103.0,637
1675221300,12102.5,12103.0,12099.0,12099.5,217
1675221600,12099.5,12101.25,12097.25,12097.5,181
1675221900,12098.0,12101.0,12097.75,12100.0,127
1675222200,12100.25,12108.5,12100.25,12106.75,495
1675222500,12106.5,12107.5,12104.0,12105.25,150
1675222800,12106.0,12106.0,12102.5,12104.25,135
1675223100,12104.75,12105.0,12101.0,12101.75,110
1675223400,12102.75,12104.75,12102.5,12104.75,120
1675223700,12105.0,12106.5,12104.0,12104.5,116
1675224000,12104.0,12105.75,12102.0,12105.5,105
1675224300,12105.25,12108.0,12103.0,12106.0,198
1675224600,12106.0,12110.75,12106.0,12109.5,237
1675224900,12109.5,12111.0,12106.0,12108.75,366
1675225200,12108.25,12115.0,12107.75,12111.25,335
1675225500,12111.25,12118.5,12111.0,12117.0,486
1675225800,12116.75,12119.0,12116.0,12116.25,226
1675226100,12116.25,12117.0,12111.75,12113.0,274
1675226400,12113.25,12116.75,12111.5,12111.5,162
1675226700,12111.75,12112.25,12108.5,12108.5,188
1675227000,12108.5,12110.75,12107.5,12108.0,147
1675227300,12108.0,12109.5,12105.25,12107.0,98
1675227600,12106.75,12106.75,12100.25,12103.0,279
1675227900,12103.0,12107.5,12103.0,12106.0,126
1675228200,12106.25,12110.5,12105.25,12108.75,177
1675228500,12108.75,12109.75,12107.0,12108.5,129
1675228800,12107.5,12108.5,12106.0,12107.25,89
